datetime,epic,offer,bid
9/7/2022 1:00,IX.D.DOW.IFA.IP,31017,31012.2
9/7/2022 5:00,IX.D.DOW.IFA.IP,31052,31047.2
9/7/2022 9:00,IX.D.DOW.IFA.IP,31212.9,31209.3
9/7/2022 13:00,IX.D.DOW.IFA.IP,31107.9,31104.3
9/7/2022 17:00,IX.D.DOW.IFA.IP,31424.4,31422
9/7/2022 21:00,IX.D.DOW.IFA.IP,31574.3,31564.5
9/8/2022 1:00,IX.D.DOW.IFA.IP,31584.7,31579.9
9/8/2022 5:00,IX.D.DOW.IFA.IP,31602.7,31597.9
9/8/2022 9:00,IX.D.DOW.IFA.IP,31580.1,31576.5
9/8/2022 13:00,IX.D.DOW.IFA.IP,31482.1,31478.5
9/8/2022 17:00,IX.D.DOW.IFA.IP,31592.9,31590.5
9/8/2022 21:00,IX.D.DOW.IFA.IP,31796.3,31786.5
9/9/2022 1:00,IX.D.DOW.IFA.IP,31836,31831.2
9/9/2022 5:00,IX.D.DOW.IFA.IP,31883.5,31878.7
9/9/2022 9:00,IX.D.DOW.IFA.IP,32003.9,32000.3
9/9/2022 13:00,IX.D.DOW.IFA.IP,31968.4,31964.8
9/9/2022 17:00,IX.D.DOW.IFA.IP,32110.1,32107.7
9/9/2022 21:00,IX.D.DOW.IFA.IP,32140.5,32130.7
9/12/2022 1:00,IX.D.SPTRD.IFA.IP,4071.84,4071.24
9/12/2022 5:00,IX.D.SPTRD.IFA.IP,4065.34,4064.74
9/12/2022 9:00,IX.D.SPTRD.IFA.IP,4094.34,4093.74
9/12/2022 13:00,IX.D.SPTRD.IFA.IP,4086.59,4085.99
9/12/2022 17:00,IX.D.SPTRD.IFA.IP,4104.56,4104.16
9/12/2022 21:00,IX.D.SPTRD.IFA.IP,4119.25,4117.75
9/13/2022 1:00,IX.D.SPTRD.IFA.IP,4115.88,4115.28
9/13/2022 5:00,IX.D.SPTRD.IFA.IP,4113.38,4112.78
9/13/2022 9:00,IX.D.SPTRD.IFA.IP,4129.63,4129.03
9/13/2022 13:00,IX.D.SPTRD.IFA.IP,4021.13,4020.53
9/13/2022 17:00,IX.D.SPTRD.IFA.IP,3985.28,3984.88
9/13/2022 21:00,IX.D.SPTRD.IFA.IP,3937.15,3935.65
9/14/2022 1:00,IX.D.SPTRD.IFA.IP,3932.64,3932.04
9/14/2022 5:00,IX.D.SPTRD.IFA.IP,3940.39,3939.79
9/14/2022 9:00,IX.D.SPTRD.IFA.IP,3956.39,3955.79
9/14/2022 13:00,IX.D.SPTRD.IFA.IP,3942.64,3942.04
9/14/2022 17:00,IX.D.SPTRD.IFA.IP,3953.46,3953.06
9/14/2022 21:00,IX.D.SPTRD.IFA.IP,3955.91,3954.41
9/15/2022 1:00,IX.D.SPTRD.IFA.IP,3952.77,3952.17
9/15/2022 5:00,IX.D.SPTRD.IFA.IP,3949.52,3948.92
9/15/2022 9:00,IX.D.SPTRD.IFA.IP,3950.27,3949.67
9/15/2022 13:00,IX.D.SPTRD.IFA.IP,3941.27,3940.67
9/15/2022 17:00,IX.D.SPTRD.IFA.IP,3921.38,3920.98
9/15/2022 21:00,IX.D.SPTRD.IFA.IP,3893.7,3892.2
9/16/2022 1:00,IX.D.SPTRD.IFA.IP,3877.03,3876.43
9/16/2022 5:00,IX.D.SPTRD.IFA.IP,3875.53,3874.93
9/16/2022 9:00,IX.D.SPTRD.IFA.IP,3864.28,3863.68
9/16/2022 13:00,IX.D.SPTRD.IFA.IP,3848.03,3847.43
9/16/2022 17:00,IX.D.SPTRD.IFA.IP,3849.93,3849.53
9/16/2022 21:00,IX.D.SPTRD.IFA.IP,3885.14,3883.64
9/17/2022 1:00,IX.D.SPTRD.IFA.IP,3884.99,3883.49
9/12/2022 1:00,IX.D.DOW.IFA.IP,32191,32186.2
9/12/2022 5:00,IX.D.DOW.IFA.IP,32153,32148.2
9/12/2022 9:00,IX.D.DOW.IFA.IP,32336.4,32332.8
9/12/2022 13:00,IX.D.DOW.IFA.IP,32230.4,32226.8
9/12/2022 17:00,IX.D.DOW.IFA.IP,32369.1,32366.7
9/12/2022 21:00,IX.D.DOW.IFA.IP,32427.2,32417.4
9/13/2022 1:00,IX.D.DOW.IFA.IP,32404.3,32399.5
9/13/2022 5:00,IX.D.DOW.IFA.IP,32394.3,32389.5
9/13/2022 9:00,IX.D.DOW.IFA.IP,32516.2,32512.6
9/13/2022 13:00,IX.D.DOW.IFA.IP,31839.7,31836.1
9/13/2022 17:00,IX.D.DOW.IFA.IP,31499.1,31496.7
9/13/2022 21:00,IX.D.DOW.IFA.IP,31147.6,31137.8
9/14/2022 1:00,IX.D.DOW.IFA.IP,31115.1,31110.3
9/14/2022 5:00,IX.D.DOW.IFA.IP,31165.1,31160.3
9/14/2022 9:00,IX.D.DOW.IFA.IP,31255,31251.4
9/14/2022 13:00,IX.D.DOW.IFA.IP,31148.5,31144.9
9/14/2022 17:00,IX.D.DOW.IFA.IP,31201.5,31199.1
9/14/2022 21:00,IX.D.DOW.IFA.IP,31189.3,31179.5
9/15/2022 1:00,IX.D.DOW.IFA.IP,31170.7,31165.9
9/15/2022 5:00,IX.D.DOW.IFA.IP,31155.7,31150.9
9/15/2022 9:00,IX.D.DOW.IFA.IP,31180.6,31177
9/15/2022 13:00,IX.D.DOW.IFA.IP,31165.6,31162
9/15/2022 17:00,IX.D.DOW.IFA.IP,31065.1,31062.7
9/15/2022 21:00,IX.D.DOW.IFA.IP,30932.5,30922.7
9/16/2022 1:00,IX.D.DOW.IFA.IP,30814,30809.2
9/16/2022 5:00,IX.D.DOW.IFA.IP,30792.5,30787.7
9/16/2022 9:00,IX.D.DOW.IFA.IP,30705.9,30702.3
9/16/2022 13:00,IX.D.DOW.IFA.IP,30561.9,30558.3
9/16/2022 17:00,IX.D.DOW.IFA.IP,30646.7,30644.3
9/16/2022 21:00,IX.D.DOW.IFA.IP,30907.6,30897.8
9/20/2022 1:00,IX.D.SPTRD.IFA.IP,3908.6,3908
9/20/2022 5:00,IX.D.SPTRD.IFA.IP,3909.35,3908.75
9/20/2022 9:00,IX.D.SPTRD.IFA.IP,3894.6,3894
9/20/2022 13:00,IX.D.SPTRD.IFA.IP,3874.1,3873.5
9/20/2022 17:00,IX.D.SPTRD.IFA.IP,3857.58,3857.18
9/20/2022 21:00,IX.D.SPTRD.IFA.IP,3863.53,3862.03
9/21/2022 1:00,IX.D.SPTRD.IFA.IP,3861.54,3860.94
9/21/2022 5:00,IX.D.SPTRD.IFA.IP,3860.54,3859.94
9/21/2022 9:00,IX.D.SPTRD.IFA.IP,3859.29,3858.69
9/21/2022 13:00,IX.D.SPTRD.IFA.IP,3876.29,3875.69
9/21/2022 17:00,IX.D.SPTRD.IFA.IP,3874.55,3874.15
9/21/2022 21:00,IX.D.SPTRD.IFA.IP,3781.44,3779.94
9/22/2022 1:00,IX.D.SPTRD.IFA.IP,3757.93,3757.33
9/22/2022 5:00,IX.D.SPTRD.IFA.IP,3768.93,3768.33
9/22/2022 9:00,IX.D.SPTRD.IFA.IP,3806.05,3805.45
9/22/2022 13:00,IX.D.SPTRD.IFA.IP,3797.93,3797.33
9/22/2022 17:00,IX.D.SPTRD.IFA.IP,3766.48,3766.08
9/22/2022 21:00,IX.D.SPTRD.IFA.IP,3760.39,3758.89
9/23/2022 1:00,IX.D.SPTRD.IFA.IP,3764.01,3763.41
9/23/2022 5:00,IX.D.SPTRD.IFA.IP,3744.88,3744.28
9/23/2022 9:00,IX.D.SPTRD.IFA.IP,3733.01,3732.41
9/23/2022 13:00,IX.D.SPTRD.IFA.IP,3705.26,3704.66
